date,ratings,text,negative_score,positive_score,sentiment
2022-09-30,9,terrific wandavision first disney shows take place mcu need start praise elizabeth olsen job shes beautiful shes underrated actress really one better actresses working right wanda one powerful superheroes entire mcu really shows weird fun show keep entertained throughout series attention detail really captured era fantastic tribute sitcoms era youre fan mcu must watch,0.02,0.516,POSITIVE
2023-01-31,9,elizabeth olsen amazing found wandavision pretty entertaining show thats fantastic addition phase top bananas works weirdly entertaining way start watching youll want binge quickly possible dont understand negative reviews though watch trailers acting surprised watching dont get expecting didnt get see wildly original show thats fun ride cant turn away absolutely pays end elizabeth olsen amazing absolutely deserved emmy nomination also great best thing going new dr strange movie,0.014,0.623,POSITIVE
2021-01-29,10,ignore every negative review episode might error disneys part release first episodes instead episodes people absolutely loved intrigue mystery first three episodes exceptional show getting lot hate due lack plot 4th episode came exceptional episode justified use first three even gave answers many questions wanda vision overall brilliant show shouldnt judged first three episodes especially complaint lack plot,0.111,0.577,POSITIVE
2022-10-18,7,unexpected experience first im marvel fan comics superheroes please read review outsiders point view watched show saw trailer obvious homage classic television appealed shows paid tribute mentioned like way main character related affected cast great humor lovely surprise villain well exactly cup tea said background universe wont go detail loved beyond words attention detail visible love expressed tv history dick van dyke show malcolm middle hit nerve made smile way love story included im still positively enthralled,0.097,0.398,POSITIVE
2021-03-13,8,missing emotions avengers wanda maximoff elizabeth olsen vision paul bettany somehow starring variations old tv sitcoms delivers missing emotional content avengers cinematic coupling never achieved actual feelings big screen movies wanda vision always felt slapped together dont much screen time even less emotions one brooding terrorist turned good robot humanized powerful magical beings rather human relationship time marvel decided expand probably interesting movie nine episode tv show expanding allowed various scenes give two character real human emotions places wandas grief front center well highlighting relationship movies show puts real meat bones characters finally makes flesh blood warning least watch episode four surreal first three episodes confusing leave one wondering unfamiliar sitcom tropes,0.184,0.192,POSITIVE
2021-02-06,8,wandavision kewl show developing nicely although build slow episode story progresses gets interesting world building seems good characters solid theres eerie vibe every episode makes intriguing also show somewhat different many double meanings implications feel free interpret wandavision already pun another note happy see many actors various mcu films appearing also core cast show pretty good see kathryn hahn olsenbettany given nice chance show acting skills deliver comedy top drama action used looks like novel show give go,0.019,0.512,POSITIVE
2021-02-04,10,gets better every episode fantastic show every actor excellent job happy biggest fan mcu,0.0,0.787,POSITIVE
2021-03-10,7,bad say good others say alright show could better needs story,0.355,0.355,NEGATIVE
2023-02-26,8,refreshingly creative refreshing creative television series series first two episodes almost sluggishly slow later pick speed breaking new immersive ground superhero genre somewhat difficult understand first quite unexpected funny enjoyable comedic nature series eventually makes way dramatic superhero action heart wrenching end various plot themes past television comedy series mysterious military thrillers paranormal powers border magic make difficult script writing effort script though almost nearly becomes seamless continuous television experience use flashbacks editing times become worrisome approach actually somehow redeem quite well intentions reflective great scriptwriting loose ends almost magically come together many storylines explained offering nice understanding individual characters fit overall series becomes edgy eventually introduces emotionally charged philosophical humanistic quandaries definitely worth watching,0.066,0.368,POSITIVE
2021-03-05,8,comic book geek hand help fill blanks person like fantastic show every actor excellent job happy biggest fan mcu,0.029,0.781,POSITIVE
