date,headline,ratings,reviews
30 September 2022,Terrific!!,9.0,WandaVision is the first of the Disney shows that take place in the MCU. I need to start off with my praise for Elizabeth Olsen and the job she does here. She's not only beautiful but she's such an underrated actress. She really is one of the better actresses working right now. Wanda is one of the most powerful superheroes in the entire MCU and it really shows here. It's a weird and very fun show that will keep you entertained throughout the series. The attention to detail really captured the era and is a fantastic tribute to to the sitcoms of that era. If you're a fan of the MCU then this is a must watch!
31 January 2023,Elizabeth Olsen is amazing here!,9.0,I found WandaVision to be a pretty entertaining show that's a fantastic addition to Phase 4! It's so over the top bananas but it works in a weirdly entertaining way! Once you start watching it you'll want to binge it as quickly as possible. I don't understand some of these negative reviews though...did you not watch the trailers? Some of you are acting surprised at what you were watching. I don't get it...what were you expecting that you didn't get to see? It's a wildly original show that's such a fun ride that you can't turn away and that absolutely pays off in the end. Elizabeth Olsen is so amazing here that she absolutely deserved an Emmy nomination! She was also just great and the best thing going in the new Dr. Strange movie!
29 January 2021,Ignore every negative review before episode 4,10.0,"It might have been an error on Disney's part to release only the first 2 episodes at once instead of 4 episodes. While I am on of the few people who absolutely loved the intrigue and mystery of the first three episodes, this exceptional show has been getting a lot of hate due to a lack of plot.

... And then the 4th episode came out. Not only was it an exceptional episode, but it justified the use of the first three and even gave some answers to the many questions of Wanda vision.

Overall a brilliant show that shouldn't be judged on the first three episodes (especially if your only complaint is a lack of plot)"
18 October 2022,An unexpected experience,7.0,"First of, I'm not a Marvel fan, not into comics and superheroes at all, so please read this review as what it is: an outsider's point of view. I watched this show, because I saw the trailer and the obvious homage to classic television appealed to me. All those shows paid tribute to and mentioned, I like. The way the main character related to them affected me. The cast was great, the humor a lovely surprise. The villain, well, not exactly my cup of tea, but as I said, I have no background in this universe, so I won't go into further detail. What I loved beyond words was the attention to detail and the visible love expressed for TV history from The Dick van Dyke Show to Malcolm in the Middle. Now that hit a nerve and made me smile all the way through, love story included. I'm still positively enthralled."
13 March 2021,all the missing emotions,8.0,"Avengers, Wanda Maximoff (Elizabeth Olsen) and Vision (Paul Bettany), are somehow starring in variations of old TV sitcoms.

This delivers all the missing emotional content in this Avengers cinematic coupling which never achieved actual feelings while on the big screen. In the movies, Wanda and Vision always felt slapped together. They don't have much screen time and even less emotions. After all, one is a brooding terrorist turned good and the other is a robot humanized. They are powerful magical beings rather than a human relationship until now. This time, Marvel has decided to expand what was probably an interesting movie into a nine episode TV show. In expanding it, it allowed various scenes to give these two character real human emotions. It places Wanda's grief front and center as well as highlighting their relationship. More than all the movies, this show puts real meat on the bones of these characters. It finally makes them flesh and blood.

Warning: At least watch it to episode four. The surreal first three episodes can be confusing and leave one wondering about unfamiliar sitcom tropes."
6 February 2021,Wandavision is kewl.,8.0,"Show is developing nicely and although the build up is slow, by episode 5 the story progresses more and gets interesting. World building seems good, characters are solid and there's an eerie vibe in every episode which makes it intriguing.

Also, this show is somewhat different; many double meanings and implications. Feel free to interpret. Wandavision is already a pun.

On another note, I am happy to see many actors from various MCU films appearing. Also, the core cast of this show is pretty good (see Kathryn Hahn) and OlsenBettany are given a nice chance to show some more acting skills and deliver comedy on top of the drama and action that we are used to.

So, its an 8/10 for now, looks like a novel show. Give it a go."
4 February 2021,Gets better with every episode,10.0,
10 March 2021,"Not as bad as some say, not as good as some others say",7.0,
26 February 2023,Refreshingly Creative,8.0,"A refreshing and creative television series. This series with its first two episodes almost sluggishly slow only to later pick up speed breaking new ""immersive"" ground in the superhero genre. Somewhat difficult to understand at first but quite unexpected, funny, and enjoyable, the comedic nature of this series eventually makes way for dramatic superhero action with heart-wrenching end. The various plot themes, from past television comedy series, to mysterious military thrillers, paranormal powers that border on magic make for a difficult script writing effort. The script though almost nearly becomes a seamless continuous television experience. The use of flashbacks and editing at times become worrisome in their approach but actually somehow redeem themselves quite well with their intentions reflective of great scriptwriting. All the loose ends almost magically come together with so many storylines explained and offering nice understanding of how individual characters fit with each other and themselves. Overall, this series becomes edgy and eventually introduces emotionally charged philosophical and humanistic quandaries. Definitely worth watching."
5 March 2021,Have a comic book geek on hand to help you fill in the blanks if you are a person like me.,8.0,
